#REACTION1 DATA1
#SUBENT      E2610008
#AUTHORS     M.Saito, M.Aikawa, T.Murata, N.Ukon, 
#+           Y.Komori, H.Haba, S.Takacs
#REFERENCE   Nucl. Instrum. Methods in Physics Res., Sect.B Vol.453, p.15
#YEAR        2019
#TITLE       Activation cross sections of alpha-induced reactions
#+           on natural ytterbium up to 50 MeV
#REACTION    70-YB-0(A,X)71-LU-173,CUM,SIG
#QUANTITY    Cumulative cross section
#SUBP       E2610008 
#Ene,MeV     dEne,MeV    Sig,mb      dSig,mb
 18.6        1.3         7.9         0.9
 23.4        1.1         97          11.1
 27.6        0.9         163.3       18.7
 31.4        0.9         271.7       31.2
 34.9        0.8         335.5       38.6
 38.1        0.8         405.5       46.6
 39.4        0.7         435.8       50.1
 40.6        0.7         456.7       52.7
 43.6        0.7         412.5       47.4
 44.8        0.7         425.4       48.9
 46          0.7         395.1       45.4
 47.1        0.7         410.9       47.3
 48.3        0.7         449.5       51.7
 49.4        0.7         520.8       59.9
#END

REACTION1 DATA2
#SUBENT      D4374003
#AUTHORS     F.Tarkanyi, F.Ditroi, S.Takacs, A.Hermanne, 
#+           B.Kiraly
#REFERENCE   Journal of Radioanalytical and Nuclear Chemistry Vol.311, p.1825
#YEAR        2017
#TITLE       Activation cross-section data for alpha-particle
#+           induced nuclear reactions on natural ytterbium for
#+           some longer lived radioisotopes
#REACTION    70-YB-0(A,X)71-LU-173,CUM,SIG
#QUANTITY    Cumulative cross section
#SUBP       D4374003 
#Ene,MeV     dEne,MeV    Sig,mb      dSig,mb
 7.8         1.4         8.3         1.2
 13.1        1.2         27.6        3.2
 17.4        1           52.5        5.9
 20.3        0.8         21.7        2.5
 21          0.8         122.2       13.9
 23.7        0.7         108.5       12.2
 24.3        0.7         229.4       25.9
 26.7        0.6         176.1       19.8
 27.3        0.6         296.9       33.4
 29.6        0.5         243.4       27.3
 30.1        0.5         369.7       41.7
 32.3        0.4         368.2       41.4
 32.8        0.4         461.7       52
 34.8        0.4         466.4       52.5
 35.3        0.4         517         58.2
 37.2        0.3         576         64.7
 37.7        0.3         573.1       64.5
#REACTION2 DATA1
#SUBENT      E2703011
#AUTHORS     M.Sakaguchi, M.Aikawa, N.Ukon, Y.Komori, 
#+           H.Haba, N.Otuka, S.Takacs
#REFERENCE   Applied Radiation and Isotopes Vol.176, p.109826
#YEAR        2021
#TITLE       Activation cross section measurement of alpha-particle
#+           induced reactions on natural neodymium
#REACTION    60-ND-0(A,X)60-ND-149,CUM,SIG
#QUANTITY    Cumulative cross section
#SUBP       E2703011 
#Ene,MeV     dEne,MeV    Sig,mb      dSig,mb
 14.3        0.7         0.0439      0.0035
 16.9        0.6         0.0477      0.0039
 22.2        0.5         0.0601      0.005
 24.2        0.5         0.117       0.009
 28.7        0.45        0.498       0.04
 30.4        0.4         0.782       0.061
 34.2        0.4         1.57        0.12
 35.7        0.35        2.11        0.17
 39.2        0.35        2.69        0.22
 40.6        0.35        2.99        0.24
 43.8        0.35        3.82        0.31
 45.1        0.35        3.83        0.32
 48.1        0.3         4.68        0.51
 49.3        0.3         4.68        0.57
#END
