#Ene,MeV     dEne,MeV    Sig,mb      dSig,mb
 14.3        0.7         0.0575      0.0052
 16.9        0.6         0.0629      0.0079
 22.2        0.5         0.0691      0.008
 24.2        0.5         0.127       0.012
 28.7        0.45        0.638       0.052
 30.4        0.4         0.959       0.077
 34.2        0.4         1.95        0.15
 35.7        0.35        2.42        0.19
 39.2        0.35        3.1         0.24
 40.6        0.35        3.59        0.28
 43.8        0.35        4.8         0.38
 45.1        0.35        5.16        0.41
 48.1        0.3         6.34        0.5
 49.3        0.3         6.95        0.55
